08/24/25 - 01:03:52.080208 [trace] 	var CompassMask_mc: DisplayObject
08/24/25 - 01:03:52.080213 [trace] 	var DirectionRect: DisplayObject
08/24/25 - 01:03:52.080217 [trace] 	var FocusedMarkerInstance: DisplayObject
08/24/25 - 01:03:52.080221 [trace] 	var COMPASS_HEADING: Number
08/24/25 - 01:03:52.080225 [trace] 	var CompassMarkerUnknownLocation: Number
08/24/25 - 01:03:52.080229 [trace] 	var MarkersData: Array
08/24/25 - 01:03:52.080234 [trace] 	var MarkerList: Array
08/24/25 - 01:03:52.080238 [trace] 	var SetFocusedMarkerInfo: Object
08/24/25 - 01:03:52.080242 [trace] 	var CompassMarkerQuestDoor: Number
08/24/25 - 01:03:52.080246 [trace] 	var COMPASS_GOTOANDSTOP: Number
08/24/25 - 01:03:52.080250 [trace] 	var FocusMarker: Object
08/24/25 - 01:03:52.080254 [trace] 	var HUDMenu: DisplayObject
08/24/25 - 01:03:52.080259 [trace] 	var UnfocusMarker: Object
08/24/25 - 01:03:52.080263 [trace] 	var CompassMarkerQuest: Number
08/24/25 - 01:03:52.080267 [trace] 	var COMPASS_SCALE: Number
08/24/25 - 01:03:52.080271 [trace] 	var SetUnits: Object
08/24/25 - 01:03:52.080275 [trace] 	var Compass: Object
08/24/25 - 01:03:52.080279 [trace] 	var SetMarkers: Object
08/24/25 - 01:03:52.080283 [trace] 	var COMPASS_STRIDE: Number
08/24/25 - 01:03:52.080288 [trace] 	var UpdateFocusedMarker: Object
08/24/25 - 01:03:52.080292 [trace] 	var COMPASS_ALPHA: Number
08/24/25 - 01:03:52.080296 [trace] 	var localToLocal: Object
08/24/25 - 01:03:52.080300 [trace] 	var Lock: Object
08/24/25 - 01:03:52.080304 [trace] }
08/24/25 - 01:03:52.080309 [trace] 
08/24/25 - 01:03:52.080581 [info] Patches loaded for Interface/HUDMenu.swf: 2
08/24/25 - 01:03:52.080585 [debug] 
08/24/25 - 01:04:31.599726 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:04:31.599787 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:04:31.599793 [debug] 
08/24/25 - 01:04:31.609315 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:04:31.609375 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:04:31.609381 [debug] 
08/24/25 - 01:04:31.618491 [trace] Detected FloatingDamageV2 movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:04:31.618557 [debug] Patches loaded for Interface/FloatingDamageV2.swf: 0
08/24/25 - 01:04:31.618563 [debug] 
08/24/25 - 01:04:38.365370 [trace] Detected Quest_Journal movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:04:38.365438 [debug] Patches loaded for Interface/Quest_Journal.swf: 0
08/24/25 - 01:04:38.365445 [debug] 
08/24/25 - 01:04:38.368900 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:04:38.368945 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:04:38.368953 [debug] 
08/24/25 - 01:08:09.246427 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:09.246496 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:08:09.246503 [debug] 
08/24/25 - 01:08:09.250359 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:08:09.250417 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:08:09.250424 [debug] 
